Feature_ID	Taxonomy
JX969088.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Iguanidae;g__Phymaturus;s__payuniae
JX969089.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Iguanidae;g__Phymaturus;s__somuncurensis
JX969090.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Iguanidae;g__Phymaturus;s__spectabilis
JX969091.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Iguanidae;g__Phymaturus;s__spurcus
JX969092.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Iguanidae;g__Phymaturus;s__tenebrosus
JX969093.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Iguanidae;g__Phymaturus;s__zapalensis
JX969095.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Iguanidae;g__Phymaturus;s__felixi
JX969097.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Iguanidae;g__Phymaturus;s__sp. 22 MM-2012
JX969098.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Iguanidae;g__Phymaturus;s__delheyi
JX969099.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Iguanidae;g__Phymaturus;s__sp. 12 MM-2012
JX969100.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Iguanidae;g__Phymaturus;s__sitesi
JX969101.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Iguanidae;g__Phymaturus;s__sp. 13 MM-2012
JX969102.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Iguanidae;g__Phymaturus;s__sp. 14 MM-2012
JX969103.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Iguanidae;g__Phymaturus;s__sp. 15 MM-2012
JX969104.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Iguanidae;g__Phymaturus;s__sp. 16 MM-2012
JX969105.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Iguanidae;g__Phymaturus;s__sp. 17 MM-2012
JX969106.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Iguanidae;g__Phymaturus;s__sp. 18 MM-2012
JX969107.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Iguanidae;g__Phymaturus;s__sp. 19 MM-2012
JX969108.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Iguanidae;g__Phymaturus;s__sp. 20 MM-2012
JX969109.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Iguanidae;g__Phymaturus;s__sp. 21 MM-2012
JX969110.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Iguanidae;g__Phymaturus;s__sp. 11 MM-2012
JX982291.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Characiformes;f__Citharinidae;g__Ichthyborus;s__besse
JX982292.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Characiformes;f__Citharinidae;g__Ichthyborus;s__ornatus
JX982293.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Characiformes;f__Distichodontidae;g__Nannocharax;s__schoutedeni
JX982295.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Characiformes;f__Distichodontidae;g__Nannocharax;s__taenia
JX982296.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Characiformes;f__Distichodontidae;g__Nannocharax;s__parvus
JX982297.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Characiformes;f__Distichodontidae;g__Nannocharax;s__parvus
JX982298.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Characiformes;f__Distichodontidae;g__Hemigrammocharax;s__ocellicauda
JX982299.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Characiformes;f__Distichodontidae;g__Nannocharax;s__sp. NES1
JX982300.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Characiformes;f__Distichodontidae;g__Xenocharax;s__spilurus
JX982301.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Characiformes;f__Citharinidae;g__Citharinus;s__gibbosus
JX982302.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Characiformes;f__Citharinidae;g__Citharinus;s__latus
JX982303.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Characiformes;f__Distichodontidae;g__Neolebias;s__ansorgii
JX982304.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Characiformes;f__Distichodontidae;g__Nannaethiops;s__bleheri
JX982305.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Characiformes;f__Distichodontidae;g__Nannaethiops;s__unitaeniatus
JX982306.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Characiformes;f__Distichodontidae;g__Neolebias;s__trilineatus
JX982307.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Characiformes;f__Distichodontidae;g__Nannocharax;s__uniocellatus
JX982308.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Characiformes;f__Distichodontidae;g__Hemistichodus;s__vaillanti
JX982310.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Characiformes;f__Distichodontidae;g__Eugnathichthys;s__macroterolepis
JX982311.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Characiformes;f__Distichodontidae;g__Mesoborus;s__crocodilus
JX982312.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Characiformes;f__Citharinidae;g__Phago;s__boulengeri
JX982313.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Characiformes;f__Distichodontidae;g__Belonophago;s__hutsebouti
JX982314.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Characiformes;f__Distichodontidae;g__Microstomatichthyoborus;s__bashforddeani
JX982315.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Characiformes;f__Distichodontidae;g__Distichodus;s__hypostomatus
JX982316.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Characiformes;f__Distichodontidae;g__Distichodus;s__noboli
JX982317.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Characiformes;f__Distichodontidae;g__Distichodus;s__decemmaculatus
JX982318.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Characiformes;f__Distichodontidae;g__Distichodus;s__fasciolatus
JX982320.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Characiformes;f__Distichodontidae;g__Distichodus;s__affinis
JX989557.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Dicroglossidae;g__Quasipaa;s__shini
JX989568.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Dicroglossidae;g__Quasipaa;s__shini
JX989578.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Dicroglossidae;g__Quasipaa;s__exilispinosa
JX989595.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Dicroglossidae;g__Quasipaa;s__exilispinosa
JX989619.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Dicroglossidae;g__Quasipaa;s__spinosa
JX989628.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Dicroglossidae;g__Quasipaa;s__spinosa
JX989676.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Dicroglossidae;g__Quasipaa;s__spinosa
JX989678.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Dicroglossidae;g__Quasipaa;s__spinosa
JX989698.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Dicroglossidae;g__Quasipaa;s__spinosa
JX989763.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Dicroglossidae;g__Quasipaa;s__spinosa
JX989778.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Dicroglossidae;g__Quasipaa;s__spinosa
JX989784.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Dicroglossidae;g__Quasipaa;s__spinosa
JX989789.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Dicroglossidae;g__Quasipaa;s__spinosa
KC106665.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Cyprinodontiformes;f__Valenciidae;g__Valencia;s__letourneuxi
KC106669.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Cyprinodontiformes;f__Valenciidae;g__Valencia;s__letourneuxi
KC106673.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Cyprinodontiformes;f__Valenciidae;g__Valencia;s__letourneuxi
KC136370.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Centrarchiformes;f__Girellidae;g__Girella;s__zebra
KC136395.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Centrarchiformes;f__Girellidae;g__Girella;s__cyanea
KC136407.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Centrarchiformes;f__Kyphosidae;g__Kyphosus;s__pacificus
KC136408.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Centrarchiformes;f__Kyphosidae;g__Medialuna;s__californiensis
KC136425.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Centrarchiformes;f__Girellidae;g__Graus;s__nigra
KC136457.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Centrarchiformes;f__Kyphosidae;g__Neoscorpis;s__lithophilus
KC136465.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Centrarchiformes;f__Kyphosidae;g__Scorpis;s__violacea
KC136481.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Centrarchiformes;f__Kyphosidae;g__Kyphosus;s__sectatrix
KC136482.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Centrarchiformes;f__Oplegnathidae;g__Oplegnathus;s__woodwardi
KC136489.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Centrarchiformes;f__Kyphosidae;g__Kyphosus;s__sydneyanus
KC136500.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Centrarchiformes;f__Kyphosidae;g__Kyphosus;s__hawaiiensis
KC136507.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Centrarchiformes;f__Kyphosidae;g__Kyphosus;s__elegans
KC136517.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Centrarchiformes;f__Girellidae;g__Girella;s__nebulosa
KC136518.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Centrarchiformes;f__Girellidae;g__Girella;s__fimbriata
KC136523.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Centrarchiformes;f__Kyphosidae;g__Kyphosus;s__bigibbus
KC136525.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Centrarchiformes;f__Kyphosidae;g__Kyphosus;s__bigibbus
KC136529.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Centrarchiformes;f__Kyphosidae;g__Kyphosus;s__vaigiensis
KC136536.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Centrarchiformes;f__Girellidae;g__Girella;s__tricuspidata
KC136546.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Centrarchiformes;f__Girellidae;g__Girella;s__nigricans
KC136547.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Centrarchiformes;f__Kyphosidae;g__Kyphosus;s__azureus
KC136553.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Centrarchiformes;f__Girellidae;g__Girella;s__simplicidens
KC136556.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Centrarchiformes;f__Kyphosidae;g__Kyphosus;s__gladius
KC136564.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Centrarchiformes;f__Kyphosidae;g__Kyphosus;s__pacificus
KC136565.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Centrarchiformes;f__Kyphosidae;g__Kyphosus;s__elegans
KC136574.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Centrarchiformes;f__Kyphosidae;g__Kyphosus;s__analogus
KC136575.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Centrarchiformes;f__Kyphosidae;g__Kyphosus;s__cornelii
KC136576.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Scombriformes;f__Centrolophidae;g__Hyperoglyphe;s__antarctica
KC136578.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Centrarchiformes;f__Kyphosidae;g__Kyphosus;s__ocyurus
KC136579.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Centrarchiformes;f__Kyphosidae;g__Scorpis;s__lineolata
KC177476.1	d__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Empididae;g__Empis;s__barbatoides
KC193763.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Clupea;s__harengus
KC193767.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Clupea;s__harengus
KC196066.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Dicroglossidae;g__Hoplobatrachus;s__rugulosus
KC282640.1	d__Metazoa;p__Chordata;c__Mammalia;o__Artiodactyla;f__Bovidae;g__Oryx;s__gazella
KC333650.1	d__Metazoa;p__Chordata;c__Sarcopterygii;o__Testudines;f__Geoemydidae;g__Mauremys;s__sinensis
KC347304.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Colubridae;g__Ahaetulla;s__pulverulenta
KC347306.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Colubridae;g__Aspidura;s__guentheri
KC347307.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Colubridae;g__Aspidura;s__sp. RAP-2013
KC347308.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Colubridae;g__Aspidura;s__trachyprocta
KC347310.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Colubridae;g__Rhabdophis;s__ceylonensis
KC347311.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Colubridae;g__Boiga;s__barnesii
KC347312.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Colubridae;g__Boiga;s__beddomei
KC347313.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Colubridae;g__Boiga;s__ceylonensis
KC347314.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Colubridae;g__Boiga;s__forsteni
KC347316.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Elapidae;g__Bungarus;s__ceylonicus
KC347317.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Elapidae;g__Calliophis;s__melanurus
KC347319.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Colubridae;g__Chrysopelea;s__taprobanica
KC347320.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Cylindrophiidae;g__Cylindrophis;s__maculatus
KC347321.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Colubridae;g__Dendrelaphis;s__bifrenalis
KC347322.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Colubridae;g__Dendrelaphis;s__tristis
KC347325.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Viperidae;g__Hypnale;s__nepa
KC347327.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Colubridae;g__Oligodon;s__arnensis
KC347328.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Colubridae;g__Oligodon;s__calamarius
KC347335.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Colubridae;g__Sibynophis;s__subpunctatus
KC347336.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Viperidae;g__Trimeresurus;s__trigonocephalus
KC351747.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Centrolenidae;g__Hyalinobatrachium;s__orientale
KC441961.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Aulopiformes;f__Synodontidae;g__Synodus;s__foetens
KC461238.1	d__Metazoa;p__Chordata;c__Mammalia;o__Carnivora;f__Canidae;g__Canis;s__lupus desertorum
KC470090.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Leptodactylidae;g__Adenomera;s__martinezi
KC470091.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Leptodactylidae;g__Adenomera;s__araucaria
KC470092.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Leptodactylidae;g__Adenomera;s__marmorata
KC470094.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Leptodactylidae;g__Leptodactylus;s__podicipinus
KC470095.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Leptodactylidae;g__Leptodactylus;s__fuscus
KC470096.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Leptodactylidae;g__Leptodactylus;s__leptodactyloides
KC470097.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Leptodactylidae;g__Leptodactylus;s__marambaiae
KC470100.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Leptodactylidae;g__Adenomera;s__lutzi
KC470101.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Leptodactylidae;g__Leptodactylus;s__mystaceus
KC470102.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Leptodactylidae;g__Lithodytes;s__lineatus
KC470104.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Leptodactylidae;g__Leptodactylus;s__notoaktites
KC470105.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Leptodactylidae;g__Leptodactylus;s__mystacinus
KC470107.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Leptodactylidae;g__Adenomera;s__bokermanni
KC470109.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Leptodactylidae;g__Leptodactylus;s__petersii
KC470112.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Leptodactylidae;g__Adenomera;s__andreae
KC507852.1	d__Metazoa;p__Chordata;c__Amphibia;o__Caudata;f__Salamandridae;g__Tylototriton;s__shanjing
KC516778.1	d__Metazoa;p__Chordata;c__Mammalia;o__Eulipotyphla;f__Talpidae;g__Uropsilus;s__aequodonenia
KC520675.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Aromobatidae;g__Allobates;s__chalcopis
KC520679.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Aromobatidae;g__Allobates;s__sp. MTD47884
KC520681.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Aromobatidae;g__Allobates;s__spumaponens
KC520683.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Leptodactylidae;g__Adenomera;s__andreae
KC520758.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Hylidae;g__Pithecopus;s__hypochondrialis
KC520761.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Hylidae;g__Pithecopus;s__hypochondrialis
KC520763.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Hylidae;g__Pithecopus;s__azureus
KC520764.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Hylidae;g__Pithecopus;s__hypochondrialis
KC520765.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Hylidae;g__Pithecopus;s__aff. hypochondrialis DPB-2013
KC520767.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Hylidae;g__Pithecopus;s__aff. hypochondrialis DPB-2013
KC520768.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Hylidae;g__Pithecopus;s__aff. hypochondrialis DPB-2013
KC520769.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Hylidae;g__Pithecopus;s__cf. hypochondrialis ZUEC 16406
KC525226.1	d__Metazoa;p__Chordata;c__Mammalia;o__Rodentia;f__Geomyidae;g__Thomomys;s__nayarensis
KC526954.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Sparisoma;s__axillare
KC545408.1	d__Metazoa;p__Chordata;c__Aves;o__Passeriformes;f__Meliphagidae;g__Anthornis;s__melanura
KC545409.1	d__Metazoa;p__Chordata;c__Aves;o__Passeriformes;f__Acanthizidae;g__Mohoua;s__novaeseelandiae
KC569980.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Megophryidae;g__Oreolalax;s__sterlingae
KC572708.1	d__Metazoa;p__Chordata;c__Mammalia;o__Artiodactyla;f__Balaenopteridae;g__Balaenoptera;s__physalus
KC572806.1	d__Metazoa;p__Chordata;c__Mammalia;o__Artiodactyla;f__Balaenopteridae;g__Balaenoptera;s__physalus
KC572842.1	d__Metazoa;p__Chordata;c__Mammalia;o__Artiodactyla;f__Balaenopteridae;g__Balaenoptera;s__physalus
KC572855.1	d__Metazoa;p__Chordata;c__Mammalia;o__Artiodactyla;f__Balaenopteridae;g__Balaenoptera;s__physalus
KC575652.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Scincidae;g__Sepsiscus;s__pluto
KC575653.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Scincidae;g__Anomalopus;s__verreauxii
KC575654.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Scincidae;g__Calyptotis;s__temporalis
KC575655.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Scincidae;g__Concinnia;s__brachysoma
KC575656.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Scincidae;g__Eulamprus;s__heatwolei
KC575657.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Scincidae;g__Concinnia;s__martini
KC575658.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Scincidae;g__Eulamprus;s__tympanum
KC575659.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Scincidae;g__Hemiergis;s__decresiensis
KC575660.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Scincidae;g__Hemiergis;s__millewae
KC575661.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Scincidae;g__Hemiergis;s__quadrilineatus
KC575662.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Scincidae;g__Notoscincus;s__ornatus wotjulum
KC578685.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Agamidae;g__Phrynocephalus;s__mystaceus
KC579368.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Cypriniformes;f__Cyprinidae;g__Spinibarbus;s__sinensis
KC589039.1	d__Metazoa;p__Chordata;c__Mammalia;o__Rodentia;f__Geomyidae;g__Thomomys;s__umbrinus
KC589045.1	d__Metazoa;p__Chordata;c__Mammalia;o__Rodentia;f__Geomyidae;g__Thomomys;s__umbrinus
KC589047.1	d__Metazoa;p__Chordata;c__Mammalia;o__Rodentia;f__Geomyidae;g__Thomomys;s__umbrinus
KC593360.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Alsodidae;g__Macrogenioglottus;s__alipioi
KC593362.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Cycloramphidae;g__Zachaenus;s__parvulus
KC593373.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Serranidae;g__Epinephelus;s__epistictus
KC593375.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Serranidae;g__Cromileptes;s__altivelis
KC594289.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Rhacophoridae;g__Beddomixalus;s__bijui
KC594293.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Rhacophoridae;g__Mercurana;s__myristicapalustris
KC597259.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Gymnophthalmidae;g__Bachia;s__scaea
KC603938.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Leptodactylidae;g__Adenomera;s__diptyx
KC603939.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Leptodactylidae;g__Adenomera;s__hylaedactyla
KC603940.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Leptodactylidae;g__Adenomera;s__engelsi
KC603941.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Leptodactylidae;g__Adenomera;s__martinezi
KC603943.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Leptodactylidae;g__Adenomera;s__araucaria
KC603945.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Leptodactylidae;g__Adenomera;s__thomei
KC603947.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Leptodactylidae;g__Adenomera;s__heyeri
KC603949.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Leptodactylidae;g__Adenomera;s__sp. CHUNB27648
KC603951.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Leptodactylidae;g__Adenomera;s__lutzi
KC603953.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Leptodactylidae;g__Hydrolaetare;s__caparu
KC621295.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Xantusiidae;g__Lepidophyma;s__cuicateca
KC621296.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Xantusiidae;g__Lepidophyma;s__dontomasi
KC621299.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Xantusiidae;g__Lepidophyma;s__gaigeae
KC621300.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Xantusiidae;g__Lepidophyma;s__gaigeae
KC621301.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Xantusiidae;g__Lepidophyma;s__gaigeae
KC621302.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Xantusiidae;g__Lepidophyma;s__lowei
KC621304.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Xantusiidae;g__Lepidophyma;s__micropholis
KC621305.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Xantusiidae;g__Lepidophyma;s__reticulatum
KC621308.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Xantusiidae;g__Lepidophyma;s__smithii
KC621311.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Xantusiidae;g__Lepidophyma;s__smithii
KC621315.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Xantusiidae;g__Lepidophyma;s__sylvaticum
KC621316.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Xantusiidae;g__Lepidophyma;s__sylvaticum
KC621319.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Xantusiidae;g__Lepidophyma;s__sylvaticum
KC621320.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Xantusiidae;g__Lepidophyma;s__sylvaticum
KC621321.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Xantusiidae;g__Lepidophyma;s__sylvaticum
KC621322.1	d__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Xantusiidae;g__Lepidophyma;s__sylvaticum
KC692082.1	d__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Leptodactylidae;g__Physalaemus;s__crombiei
KC733251.1	d__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__sapiens
KC733370.1	d__Metazoa;p__Chordata;c__Amphibia;o__Caudata;f__Salamandridae;g__Tylototriton;s__asperrimus
KC733374.1	d__Metazoa;p__Chordata;c__Amphibia;o__Caudata;f__Salamandridae;g__Tylototriton;s__asperrimus
KC733376.1	d__Metazoa;p__Chordata;c__Amphibia;o__Caudata;f__Salamandridae;g__Tylototriton;s__wenxianensis
