Feature_ID	Taxonomy
AB089799.1	d__Metazoa;p__Chordata;c__Mammalia;o__Rodentia;f__Muridae;g__Mus;s__musculus x Mus spretus
AB098857.1	d__Metazoa;p__Chordata;c__Mammalia;o__Artiodactyla;f__Bovidae;g__Bos;s__taurus
AB098866.1	d__Metazoa;p__Chordata;c__Mammalia;o__Artiodactyla;f__Bovidae;g__Bos;s__taurus
AB098882.1	d__Metazoa;p__Chordata;c__Mammalia;o__Artiodactyla;f__Bovidae;g__Bos;s__taurus
AB098885.1	d__Metazoa;p__Chordata;c__Mammalia;o__Artiodactyla;f__Bovidae;g__Bos;s__taurus
AB099115.1	d__Metazoa;p__Chordata;c__Mammalia;o__Artiodactyla;f__Bovidae;g__Bos;s__taurus
AB099116.1	d__Metazoa;p__Chordata;c__Mammalia;o__Artiodactyla;f__Bovidae;g__Bos;s__taurus
AB099119.1	d__Metazoa;p__Chordata;c__Mammalia;o__Artiodactyla;f__Bovidae;g__Bos;s__taurus
AB099138.1	d__Metazoa;p__Chordata;c__Mammalia;o__Artiodactyla;f__Bovidae;g__Bos;s__taurus
AB099145.1	d__Metazoa;p__Chordata;c__Mammalia;o__Artiodactyla;f__Bovidae;g__Bos;s__taurus
AB106231.1	d__Metazoa;p__Chordata;c__Mammalia;o__Eulipotyphla;f__Talpidae;g__Uropsilus;s__gracilis
AB106233.1	d__Metazoa;p__Chordata;c__Mammalia;o__Eulipotyphla;f__Talpidae;g__Oreoscaptor;s__mizura
AB106235.1	d__Metazoa;p__Chordata;c__Mammalia;o__Eulipotyphla;f__Talpidae;g__Mogera;s__tokudae
AB108564.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Gobiiformes;f__Gobiidae;g__Eutaeniichthys;s__gilli
AB108568.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Gobiiformes;f__Gobiidae;g__Eutaeniichthys;s__gilli
AB108581.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Gobiiformes;f__Gobiidae;g__Brachygobius;s__kabiliensis
AB108583.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Gobiiformes;f__Gobiidae;g__Pandaka;s__lidwilli
AB108599.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Gobiiformes;f__Gobiidae;g__Pandaka;s__lidwilli
AB108607.1	d__Metazoa;p__Chordata;c__Actinopteri;o__Gobiiformes;f__Gobiidae;g__Pandaka;s__trimaculata
